StringTime,DoubleTime,kW L1,kW L2,kW L3,E1,E2,E3,dE1,dE2,dE3
09/24/21  07:44:03.470   ,1632469443470.0,0.039,0.319,0.559,478.40400000000244,2949.0690000000022,1571.215999999998,2.3139999999999077,20.30199999999968,34.10699999999929
09/24/21  07:45:04.491   ,1632469504491.0,0.039,0.935,0.605,480.7810000000022,2989.775000000001,1604.905999999998,2.376999999999782,40.70599999999877,33.68999999999983
09/24/21  07:46:05.461   ,1632469565461.0,0.04,0.923,0.691,483.1560000000021,3046.9610000000016,1644.5989999999977,2.3749999999998863,57.186000000000604,39.692999999999756
09/24/21  07:47:06.424   ,1632469626424.0,0.042,0.951,0.766,485.5180000000021,3104.379000000002,1688.8889999999976,2.3619999999999663,57.418000000000575,44.289999999999964
09/24/21  07:48:07.560   ,1632469687560.0,0.038,2.837,0.816,487.89200000000216,3277.169000000003,1737.001999999998,2.3740000000000805,172.79000000000087,48.113000000000284
09/24/21  07:49:08.420   ,1632469748420.0,0.037,2.814,0.879,490.1960000000021,3450.1680000000024,1789.1129999999978,2.303999999999917,172.99899999999934,52.110999999999876
09/24/21  07:50:09.447   ,1632469809447.0,0.038,2.85,0.572,492.476000000002,3623.3960000000025,1832.696999999997,2.279999999999916,173.22800000000007,43.58399999999915
09/24/21  07:51:10.442   ,1632469870442.0,0.039,2.823,0.562,494.7220000000017,3793.567000000003,1866.4739999999954,2.2459999999996967,170.17100000000073,33.77699999999845
09/24/21  07:52:11.443   ,1632469931443.0,0.036,2.313,0.57,496.9980000000014,3943.102000000003,1901.4339999999947,2.2759999999997262,149.53499999999985,34.959999999999354
09/24/21  07:53:12.459   ,1632469992459.0,0.037,2.34,0.555,499.2760000000012,4084.959000000003,1935.8539999999948,2.2779999999997926,141.85699999999997,34.42000000000007
09/24/21  07:54:12.498   ,1632470052498.0,0.037,2.298,0.637,501.510000000001,4223.816000000001,1970.4979999999948,2.23399999999981,138.8569999999977,34.644000000000005
09/24/21  07:55:13.472   ,1632470113472.0,0.038,2.815,0.717,503.80500000000086,4375.088000000003,2012.066999999995,2.2949999999998454,151.27200000000266,41.56900000000019
09/24/21  07:56:14.448   ,1632470174448.0,0.037,2.72,0.795,506.05600000000067,4541.500000000005,2058.0679999999957,2.250999999999806,166.41200000000117,46.00100000000066
09/24/21  07:57:15.431   ,1632470235431.0,0.038,2.715,0.834,508.3040000000007,4707.123000000004,2107.268999999996,2.2480000000000473,165.6229999999996,49.20100000000048
09/24/21  07:58:15.502   ,1632470295502.0,0.038,0.903,0.911,510.5170000000007,4809.049000000001,2159.7919999999963,2.2129999999999654,101.92599999999675,52.52300000000014
09/24/21  07:59:16.472   ,1632470356472.0,0.038,0.856,0.572,512.7590000000007,4861.926999999999,2199.917999999995,2.2420000000000186,52.87799999999788,40.12599999999884
09/24/21  08:00:17.531   ,1632470417531.0,0.037,0.852,0.566,515.0020000000002,4914.720000000002,2234.418999999995,2.2429999999994834,52.7930000000033,34.50099999999975
09/24/21  08:01:18.508   ,1632470478508.0,0.039,0.853,0.568,517.2549999999992,4967.513000000001,2269.5859999999952,2.2529999999990196,52.792999999998756,35.16700000000037
09/24/21  08:02:19.420   ,1632470539420.0,0.039,0.413,0.524,519.5009999999987,5007.635999999998,2303.3869999999943,2.245999999999526,40.122999999996864,33.80099999999902
09/24/21  08:03:20.438   ,1632470600438.0,0.036,0.333,0.665,521.7559999999983,5029.364999999996,2340.6229999999946,2.2549999999995407,21.72899999999845,37.23600000000033
09/24/21  08:04:21.467   ,1632470661467.0,0.037,0.343,0.741,524.0069999999977,5050.472999999996,2383.606999999995,2.250999999999408,21.108000000000175,42.98400000000038
09/24/21  08:05:22.449   ,1632470722449.0,0.033,0.79,0.798,526.247999999997,5072.213000000001,2431.0279999999952,2.2409999999993033,21.74000000000433,47.42100000000028
09/24/21  08:06:23.458   ,1632470783458.0,0.035,0.872,0.875,528.4929999999966,5123.822000000005,2481.946999999994,2.2449999999996635,51.609000000004016,50.91899999999896
09/24/21  08:07:24.431   ,1632470844431.0,0.039,0.85,0.624,530.7319999999959,5176.323000000005,2533.8199999999933,2.238999999999237,52.501000000000204,51.87299999999914
09/24/21  08:08:25.439   ,1632470905439.0,0.035,0.861,0.562,532.9899999999953,5229.276000000009,2568.8699999999935,2.2579999999994698,52.95300000000407,35.05000000000018
09/24/21  08:09:26.531   ,1632470966531.0,0.04,0.888,0.581,535.230999999995,5282.574000000008,2603.6379999999945,2.2409999999996444,53.297999999998865,34.76800000000094
09/24/21  08:10:27.440   ,1632471027440.0,0.04,0.873,0.567,537.4809999999944,5336.145000000007,2638.5879999999956,2.2499999999994316,53.570999999999,34.95000000000118
09/24/21  08:11:28.429   ,1632471088429.0,0.036,0.864,0.594,539.7269999999936,5389.558000000009,2672.476999999996,2.245999999999185,53.413000000002285,33.88900000000058
09/24/21  08:12:29.412   ,1632471149412.0,0.038,0.419,0.699,541.9819999999928,5435.958000000009,2712.074999999997,2.2549999999991996,46.399999999999636,39.598000000000866
09/24/21  08:13:30.454   ,1632471210454.0,0.035,0.353,0.752,544.2439999999923,5458.652000000006,2756.3709999999987,2.261999999999489,22.693999999997686,44.29600000000164
09/24/21  08:14:31.473   ,1632471271473.0,0.243,0.353,0.818,555.6369999999926,5480.507000000008,2804.4829999999997,11.393000000000256,21.855000000001382,48.11200000000099
09/24/21  08:15:32.445   ,1632471332445.0,0.227,0.388,0.874,570.108999999993,5502.087000000005,2855.914000000001,14.472000000000435,21.5799999999972,51.431000000001404
09/24/21  08:16:33.430   ,1632471393430.0,0.227,0.852,0.665,583.8829999999928,5546.970000000001,2909.0670000000014,13.773999999999774,44.88299999999617,53.15300000000025
09/24/21  08:17:34.430   ,1632471454430.0,0.222,0.844,0.566,597.4899999999924,5599.443999999999,2944.664000000002,13.60699999999963,52.47399999999743,35.59700000000066
09/24/21  08:18:35.456   ,1632471515456.0,0.22,0.9,0.587,610.9999999999922,5652.4029999999975,2979.5050000000015,13.509999999999764,52.95899999999892,34.84099999999944
09/24/21  08:19:36.419   ,1632471576419.0,0.221,0.875,0.572,624.4509999999929,5705.771999999998,3014.593000000003,13.451000000000704,53.3690000000006,35.08800000000156
09/24/21  08:20:37.450   ,1632471637450.0,0.218,0.877,0.581,637.9289999999932,5759.400999999999,3048.377000000004,13.478000000000293,53.629000000000815,33.784000000001015
09/24/21  08:21:38.447   ,1632471698447.0,0.22,0.918,0.69,651.334999999994,5813.652999999999,3087.8220000000047,13.406000000000859,54.25200000000041,39.44500000000062
09/24/21  08:22:39.469   ,1632471759469.0,0.222,0.911,0.765,664.7379999999945,5869.366999999998,3131.914000000003,13.403000000000475,55.71399999999903,44.09199999999828
09/24/21  08:23:40.445   ,1632471820445.0,0.219,0.394,0.823,678.1559999999951,5898.600999999999,3180.306000000003,13.418000000000575,29.23400000000038,48.39200000000028
09/24/21  08:24:41.435   ,1632471881435.0,0.219,0.387,0.884,691.5399999999958,5922.912000000002,3232.6020000000026,13.384000000000697,24.311000000003332,52.29599999999937
09/24/21  08:25:42.510   ,1632471942510.0,0.221,0.457,0.578,704.9519999999966,5947.168000000003,3277.687000000003,13.41200000000083,24.256000000001222,45.08500000000049
09/24/21  08:26:43.518   ,1632472003518.0,0.219,0.889,0.562,718.3549999999975,5985.636000000007,3312.254000000004,13.40300000000093,38.468000000003485,34.56700000000092
09/24/21  08:27:44.514   ,1632472064514.0,0.22,0.894,0.574,731.7879999999984,6040.173000000011,3347.3480000000045,13.433000000000902,54.5370000000039,35.094000000000506
09/24/21  08:28:45.513   ,1632472125513.0,0.222,0.906,0.565,745.2029999999994,6095.5600000000095,3381.8790000000054,13.415000000000987,55.38699999999881,34.53100000000086
09/24/21  08:29:45.583   ,1632472185583.0,0.221,0.913,0.63,758.4030000000002,6150.296000000013,3416.5150000000067,13.200000000000841,54.736000000003514,34.63600000000133
09/24/21  08:30:46.523   ,1632472246523.0,0.222,1.025,0.708,771.8570000000005,6211.502000000014,3457.9270000000065,13.454000000000292,61.20600000000104,41.41199999999981
09/24/21  08:31:46.522   ,1632472306522.0,0.222,1.003,0.778,785.0890000000013,6272.354000000014,3502.9650000000074,13.232000000000767,60.85199999999986,45.03800000000092
09/24/21  08:32:47.506   ,1632472367506.0,0.22,0.533,0.823,798.7290000000017,6324.232000000012,3551.9360000000074,13.640000000000441,51.87799999999788,48.971000000000004
09/24/21  08:33:48.567   ,1632472428567.0,0.221,0.473,0.886,812.1340000000027,6353.509000000015,3604.2200000000084,13.405000000000996,29.277000000002772,52.284000000001015
09/24/21  08:34:48.558   ,1632472488558.0,0.219,0.471,0.621,825.306000000003,6382.009000000013,3655.022000000011,13.172000000000253,28.49999999999818,50.80200000000241
09/24/21  08:35:50.022   ,1632472550022.0,0.212,0.456,0.564,839.6710000000036,6410.667000000008,3690.1160000000114,14.365000000000578,28.6579999999949,35.094000000000506
09/24/21  08:36:51.509   ,1632472611509.0,0.221,2.424,0.585,852.3890000000042,6469.194000000007,3723.766000000012,12.718000000000643,58.526999999999134,33.650000000000546
09/24/21  08:37:51.580   ,1632472671580.0,0.222,0.447,0.571,865.047000000004,6566.161000000005,3756.6610000000123,12.657999999999788,96.96699999999782,32.89500000000044
09/24/21  08:38:51.594   ,1632472731594.0,0.223,0.436,0.592,878.166000000004,6593.236000000006,3789.4130000000105,13.119000000000028,27.075000000001637,32.751999999998134
09/24/21  08:39:51.604   ,1632472791604.0,0.222,0.557,0.691,891.4560000000042,6620.91300000001,3828.1500000000096,13.290000000000191,27.677000000003318,38.73699999999917
09/24/21  08:40:52.513   ,1632472852513.0,0.221,0.391,0.761,904.9700000000048,6646.702000000005,3872.391000000009,13.514000000000578,25.788999999995212,44.24099999999953
09/24/21  08:41:53.461   ,1632472913461.0,0.212,0.472,0.812,917.8980000000051,6671.891000000003,3918.8710000000065,12.928000000000338,25.188999999998487,46.47999999999729
09/24/21  08:42:54.592   ,1632472974592.0,0.21,0.451,0.872,930.398000000005,6699.7950000000055,3969.1140000000046,12.499999999999886,27.90400000000227,50.24299999999812
09/24/21  08:43:55.443   ,1632473035443.0,0.203,0.361,0.732,942.2550000000047,6724.681000000003,4020.499000000005,11.85699999999963,24.885999999997694,51.38500000000022
09/24/21  08:44:56.442   ,1632473096442.0,0.202,0.347,0.571,954.1940000000046,6745.498000000005,4055.9330000000045,11.938999999999965,20.817000000001826,35.43399999999974
09/24/21  08:45:57.463   ,1632473157463.0,0.201,0.34,0.59,966.4720000000044,6767.076000000004,4091.1340000000046,12.277999999999793,21.57799999999861,35.20100000000002
09/24/21  08:46:58.427   ,1632473218427.0,0.187,0.386,0.579,981.7220000000045,6789.252000000002,4126.6480000000065,15.250000000000114,22.175999999998567,35.51400000000194
09/24/21  08:47:59.456   ,1632473279456.0,0.194,0.35,0.569,994.2890000000048,6810.846000000002,4160.929000000006,12.567000000000235,21.59400000000005,34.28099999999995
09/24/21  08:49:00.751   ,1632473340751.0,0.197,0.293,0.681,1006.7260000000052,6830.931999999998,4199.448000000006,12.437000000000467,20.085999999995693,38.51899999999932
09/24/21  08:50:01.484   ,1632473401484.0,0.193,0.364,0.76,1018.5770000000052,6902.311,4243.427000000008,11.850999999999999,71.37900000000172,43.97900000000209
09/24/21  08:51:02.436   ,1632473462436.0,0.194,0.366,0.812,1031.2650000000033,6924.7210000000005,4291.308000000009,12.687999999998056,22.410000000000764,47.88100000000122
09/24/21  08:52:02.434   ,1632473522434.0,0.195,0.362,0.86,1042.999,6958.628000000002,4341.669000000008,11.73399999999674,33.90700000000197,50.36099999999897
09/24/21  08:53:03.426   ,1632473583426.0,0.194,0.387,0.817,1054.9369999999974,6993.547000000006,4396.241000000011,11.937999999997373,34.91900000000351,54.572000000002845
09/24/21  08:54:04.552   ,1632473644552.0,0.199,0.396,0.572,1066.8579999999938,7016.702000000008,4433.726000000013,11.920999999996411,23.155000000002474,37.4850000000024
09/24/21  08:55:04.521   ,1632473704521.0,0.275,0.346,0.587,1078.7649999999908,7038.688000000011,4468.3390000000145,11.90699999999697,21.986000000002605,34.61300000000119
